text,intent
Au sujet du leadership qu'est-ce que tu proposes,recommend_by_theme
À propos du coaching qu'as-tu,recommend_by_theme
J'aimerais en savoir plus sur la formation Personal branding,ask_info
Donne-moi des détails sur Leadership,ask_info
Raconte-moi la formation CNV,ask_info
Décris-moi la formation Coaching commercial,ask_info
Présente-moi en détail la formation Délégation,ask_info
J'aimerais une description complète de la formation Manager une équipe,ask_info
Peux-tu me détailler la formation Personal branding,ask_info
Peux-tu me detailler la formation Manager une equipe,ask_info
Combien coute la formation Leadership,ask_price
Combien faut-il debourser pour Personal branding,ask_price
Quel est le tarif de Communication non violente,ask_price
Donne-moi le prix de la formation CNV,ask_price
Cette formation coute combien,ask_price
Quel budget prevoir pour Manager une equipe,ask_price
A quel prix la formation Leadership,ask_price
Combien je paye pour cette formation,ask_price
What's the price of this training,ask_price
Combien coute Coaching commercial,ask_price
Combien d'heures dure la formation Leadership,ask_duration
La formation CNV se deroule sur combien de jours,ask_duration
Sur combien de temps s'etale cette formation,ask_duration
Quelle est la duree de Personal branding,ask_duration
Cette formation prend combien de temps,ask_duration
Volume horaire de Manager une equipe,ask_duration
Combien de jours pour Coaching commercial,ask_duration
How long does this training last,ask_duration
La formation Leadership c'est en distanciel ou presentiel,ask_format
Manager une equipe se fait en presentiel,ask_format
Quel format pour la formation Personal branding,ask_format
Cette formation est-elle en visio,ask_format
Est-ce que CNV se fait en e-learning,ask_format
Modalites pratiques de cette formation,ask_format
Comment se passe la formation Leadership,ask_format
Is this training online or in-person,ask_format
Quels sont les objectifs pedagogiques de Leadership,ask_objectives
Que vais-je apprendre dans cette formation,ask_objectives
Competences visees par Personal branding,ask_objectives
Bénéfices concrets attendus de cette formation,ask_objectives
A quoi sert vraiment la formation CNV,ask_objectives
Apres cette formation je saurai faire quoi,ask_objectives
Quels acquis a la fin de la formation,ask_objectives
What skills will I learn,ask_objectives
A bientot et bonne journee,goodbye
Salut a plus,goodbye
Sur ce je file,goodbye
Bon je dois partir,goodbye
Tres bien je m'en vais,goodbye
Merci et a la prochaine fois,goodbye
J'y vais merci,goodbye
Vous proposez du distanciel,search_by_format
Y a-t-il du presentiel uniquement,search_by_format
Du e-learning seulement,search_by_format
Vos formations en visio,search_by_format
Que proposez-vous en hybride,search_by_format
Avez-vous du tout en distanciel,search_by_format
Je cherche uniquement du presentiel,search_by_format
What's available remotely,search_by_format
Une formation rapide stp,search_by_duration
Quelque chose qui tient en une demi-journee,search_by_duration
Un programme intensif sur la semaine,search_by_duration
Avez-vous des formations express,search_by_duration
Format court de quelques heures,search_by_duration
Programme long sur plusieurs jours,search_by_duration
Quelque chose de bref,search_by_duration
Vraiment court comme format,search_by_duration
Vous avez du court ou que du long,search_by_duration
Pour quel type de profil cette formation,search_by_audience
Vous formez plutot qui,search_by_audience
A qui s'adresse votre catalogue,search_by_audience
Pour quel public vos programmes,search_by_audience
Niveau debutant accessible,search_by_audience
Profils confirmes seulement,search_by_audience
For which audience,search_by_audience
Comment fonctionne ton outil,help
Que sais-tu faire,help
Quels services tu rends,help
Donne-moi tes capacites,help
Tu fais quoi exactement,help
Affiche-moi les fonctionnalites,help
A quoi tu sers exactement,help
Quels sont tes domaines de competence,help
Vos themes de formation,ask_available_themes
Quels sont vos sujets d'expertise,ask_available_themes
Liste tes specialites,ask_available_themes
Quels grands domaines tu couvres,ask_available_themes
Tes principaux thèmes,ask_available_themes
On peut traiter quels sujets,ask_available_themes
Quelle est ta meteo,fallback
Tu connais Einstein,fallback
Raconte-moi ta vie,fallback
azerty qwerty 12345,fallback
ASDFGH JKLM,fallback
Pourquoi les oiseaux volent,fallback
À tantôt,goodbye
Cya,goodbye
Have to go,goodbye
Faut que j'y aille,goodbye
À tout à l'heure,goodbye
À demain,goodbye
Bye bye,goodbye
Salut on se voit plus tard,goodbye
Allez ciao,goodbye
Bonne soiree à plus,goodbye
Take care,goodbye
Catch you later,goodbye
Quelles formations sont en visioconférence,search_by_format
Formations sans déplacement,search_by_format
Quelque chose à faire depuis chez moi,search_by_format
In-classroom training,search_by_format
Du tout en ligne,search_by_format
Formations 100% à distance,search_by_format
Formations dispo en webinaire,search_by_format
Que des modules en distanciel,search_by_format
Vous proposez des MOOC,search_by_format
Cours à distance uniquement,search_by_format
